sample_name	treatment	fwd_read	rev_read
S01	Control 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S1_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S1_R2.fastq.gz
S02	Control 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S2_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S2_R2.fastq.gz
S03	Control 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S3_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S3_R2.fastq.gz
S04	LGV 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S4_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S4_R2.fastq.gz
S05	LGV 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S5_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S5_R2.fastq.gz
S06	LGV 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S6_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S6_R2.fastq.gz
S07	HV 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S7_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S7_R2.fastq.gz
S08	HV 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S8_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S8_R2.fastq.gz
S09	HV 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S9_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S9_R2.fastq.gz
S10	LG 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S10_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S10_R2.fastq.gz
S11	LG 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S11_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S11_R2.fastq.gz
S12	LG 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S12_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S12_R2.fastq.gz
S13	Control 12	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S13_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S13_R2.fastq.gz
S14	Control 12	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S14_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S14_R2.fastq.gz
S15	Control 12	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S15_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S15_R2.fastq.gz
S16	LGV 12	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S16_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S16_R2.fastq.gz
S17	LGV 12	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S17_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S17_R2.fastq.gz
S18	LGV 12	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S18_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S18_R2.fastq.gz
S19	HV 12	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S19_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S19_R2.fastq.gz
S20	HV 12	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S20_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S20_R2.fastq.gz
S21	HV 12	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S21_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S21_R2.fastq.gz
S22	LGV 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S22_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S22_R2.fastq.gz
S23	LGV 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S23_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S23_R2.fastq.gz
S24	LGV 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S24_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S24_R2.fastq.gz
S25	HV 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S25_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S25_R2.fastq.gz
S26	HV 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S26_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S26_R2.fastq.gz
S27	HV 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S27_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S27_R2.fastq.gz
S28	Control 24	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S28_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S28_R2.fastq.gz
