sample_name	treatment	fwd_read	rev_read
1	Control 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S1_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S1_R2.fastq.gz
2	Control 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S2_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S2_R2.fastq.gz
3	Control 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S3_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S3_R2.fastq.gz
4	LGV 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S4_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S4_R2.fastq.gz
5	LGV 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S5_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S5_R2.fastq.gz
6	LGV 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S6_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S6_R2.fastq.gz
7	HV 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S7_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S7_R2.fastq.gz
8	HV 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S8_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S8_R2.fastq.gz
9	HV 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S9_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S9_R2.fastq.gz
10	LG 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S10_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S10_R2.fastq.gz
11	LG 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S11_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S11_R2.fastq.gz
12	LG 0	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S12_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S12_R2.fastq.gz
13	Control 12	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S13_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S13_R2.fastq.gz
14	Control 12	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S14_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S14_R2.fastq.gz
15	Control 12	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S15_R1.fastq.gz	/nfs/chisholmlab001/kve/2022_proMortalityExperiment/input_data_ribozero/samples/S15_R2.fastq.gz
